"Target","Period","Visits","Visits, Difference","Unique Visitors","Unique Visitors, Difference","Purchase Conversion","Purchase Conversion, Difference","Pages / Visit","Pages / Visit, Difference","Avg. Visit Duration","Avg. Visit Duration, Difference","Bounce Rate","Bounce Rate, Difference"
"cmqheadshots.com","Jan 2026","0","-100%","0","-100%","n/a","0%","0","-100%","00:00","-100%","0%","0%"
"","Dec 2025","80","","40","","0%","","2","","02:49","","0%",""
"headshotprosaz.com","Jan 2026","552","688.57%","552","1.5K%","n/a","0%","3.3","227.72%","01:18","100%","24.09%","-75.91%"
"","Dec 2025","70","","35","","0%","","1","","00:00","","100%",""
"studiowportraits.com","Jan 2026","100","100%","100","100%","n/a","0%","1","100%","00:00","0%","100%","100%"
"","Dec 2025","0","","0","","0%","","0","","00:00","","0%",""
"phoenixheadshots.net","Jan 2026","0","0%","0","0%","n/a","0%","0","0%","00:00","0%","0%","0%"
"","Dec 2025","0","","0","","0%","","0","","00:00","","0%",""
"headshotsandcoldbrews.com","Jan 2026","224","100%","224","100%","n/a","0%","2","100%","00:23","100%","0%","0%"
"","Dec 2025","0","","0","","0%","","0","","00:00","","0%",""
